generation,best_time
1,266
2,248
3,248
4,247
5,247
6,242
7,232
8,232
9,232
10,224
11,230
12,228
13,228
14,228
15,226
16,226
17,225
18,220
19,224
20,224
21,223
22,220
23,221
24,221
25,220
26,223
27,220
28,220
29,217
30,219
31,219
32,219
33,219
34,219
35,220
36,220
37,220
38,220
39,220
40,220
41,220
42,220
43,213
44,213
45,216
46,217
47,213
48,213
49,213
50,212
51,212
52,209
53,209
54,206
55,204
56,205
57,204
58,204
59,204
60,204
61,204
62,204
63,204
64,204
65,204
66,204
67,204
68,204
69,204
70,204
71,204
72,204
73,204
74,204
75,204
76,204
77,204
78,204
79,204
80,204
81,204
82,204
83,204
84,204
85,204
86,204
87,204
88,204
89,204
90,204
91,204
92,204
93,204
94,204
95,204
96,204
97,204
98,204
99,204
100,204
101,204
102,204
103,204
104,204
105,204
106,204
107,204
Total Time,173.25065183639526
