generation,best_time
1,210
2,206
3,206
4,201
5,202
6,201
7,194
8,194
9,194
10,194
11,191
12,191
13,187
14,188
15,187
16,189
17,188
18,188
19,188
20,188
21,187
22,187
23,186
24,184
25,184
26,184
27,184
28,182
29,181
30,181
31,180
32,180
33,181
34,181
35,183
36,181
37,181
38,181
39,181
40,181
41,181
42,181
43,180
44,179
45,179
46,179
47,179
48,178
49,178
50,178
51,178
52,177
53,177
54,177
55,178
56,178
57,178
58,178
59,178
60,176
61,177
62,177
63,177
64,177
65,176
66,176
67,176
68,176
69,177
70,177
71,177
72,177
73,177
74,177
75,177
76,177
77,177
78,177
79,177
80,177
81,177
82,177
83,177
84,177
85,177
86,177
87,177
88,177
89,177
90,177
91,177
92,177
93,177
94,177
95,177
96,177
97,177
98,177
99,177
100,177
101,177
102,177
103,177
104,177
105,177
106,177
107,177
108,177
109,177
110,177
111,177
112,177
113,177
114,177
115,177
116,177
117,177
118,177
119,177
Total Time,167.45557856559753
