generation,best_time
1,436
2,425
3,424
4,415
5,402
6,402
7,399
8,387
9,387
10,387
11,386
12,383
13,372
14,372
15,372
16,372
17,363
18,363
19,363
20,363
21,363
22,360
23,363
24,363
25,359
26,363
27,358
28,352
29,357
30,357
31,357
32,352
33,350
34,346
35,346
36,346
37,346
38,345
39,343
40,339
41,339
42,339
43,339
44,339
45,339
46,339
47,339
48,339
49,339
50,339
51,339
52,339
53,339
54,339
55,339
56,339
57,339
58,339
59,339
60,339
61,338
62,338
63,338
64,338
65,338
66,338
67,338
68,338
69,338
70,338
71,338
72,338
73,338
74,338
75,338
76,338
77,338
78,338
79,338
80,338
81,338
82,338
83,338
84,338
85,338
86,338
87,338
88,338
89,338
90,338
91,338
92,338
93,338
94,338
95,338
96,338
97,338
98,338
99,338
100,338
101,338
102,338
103,338
104,338
105,338
106,338
107,338
108,338
109,338
110,338
111,338
Total Time,1654.0854160785675
