generation,best_time
1,227
2,226
3,216
4,195
5,195
6,195
7,195
8,191
9,191
10,191
11,191
12,191
13,187
14,187
15,187
16,187
17,187
18,187
19,187
20,187
21,186
22,186
23,186
24,186
25,186
26,186
27,186
28,186
29,186
30,186
31,186
32,186
33,185
34,185
35,185
36,185
37,185
38,185
39,185
40,185
41,185
42,185
43,185
44,185
45,185
46,185
47,185
48,185
49,185
50,185
51,185
52,185
53,185
54,185
55,185
56,185
57,185
58,185
59,185
60,185
61,185
62,185
63,185
64,185
65,185
66,185
67,185
68,185
69,185
70,185
71,185
72,185
73,185
74,185
75,185
76,185
77,185
78,185
79,185
80,185
81,185
82,185
83,185
Total Time,118.05820441246033
