generation,best_time
1,136
2,136
3,129
4,129
5,129
6,127
7,127
8,127
9,122
10,122
11,120
12,117
13,120
14,120
15,117
16,118
17,115
18,118
19,114
20,115
21,113
22,110
23,110
24,110
25,109
26,107
27,107
28,107
29,105
30,102
31,101
32,99
33,99
34,99
35,99
36,98
37,98
38,98
39,95
40,94
41,94
42,92
43,87
44,87
45,87
46,87
47,87
48,86
49,86
50,86
51,86
52,87
53,87
54,87
55,87
56,87
57,85
58,87
59,87
60,87
61,87
62,87
63,87
64,87
65,87
66,87
67,87
68,87
69,87
70,87
71,87
72,87
73,87
74,87
75,87
76,87
77,87
78,87
79,87
80,87
81,87
82,87
83,87
84,87
85,87
86,87
87,87
88,87
89,87
90,87
91,87
92,87
93,87
94,87
95,87
96,87
97,87
98,87
99,87
100,87
101,87
102,87
103,87
104,87
105,86
106,86
107,86
108,86
109,86
110,86
111,86
112,86
113,86
114,86
115,86
116,86
117,86
118,86
119,86
120,86
121,86
122,86
123,86
124,86
125,86
126,86
127,86
128,86
129,86
130,86
131,86
132,86
133,86
134,86
135,86
136,86
137,86
138,86
139,86
140,86
141,86
142,86
143,86
144,86
145,86
146,86
147,86
148,86
149,86
150,86
151,86
152,86
153,86
154,86
155,86
Total Time,156.68663692474365
